,Industry Name,Latitude,Longitude,Category,District Name,Sector Name,Activity Name,Pollution Index Category,Total Workers
0,TROLLY WORKS,16.0591392,80.5476228,Micro,Guntur,SERVICE,REPAIR AND MAINTENANCE OF BUSES,Orange,2
1,Sri padamavathi mechanical works,16.4971132,80.6779712,Micro,Krishna,SERVICE,REPAIR AND MAINTENANCE OF BUSES,White,1
2,venkatesh mechanical works,13.2185764,79.1249472,Micro,Chittoor,SERVICE,REPAIR AND MAINTENANCE OF BUSES,Green,1
3,N Nagaraju Transformers,14.4516162,78.8407888,Micro,Kadapa,SERVICE,Generators and Transformers,Green,4
4,Sri Durga engineering works,16.507045,80.7044161,Micro,Krishna,SERVICE,Generators and Transformers,Green,1
5,Srinivasa Electricals,16.5043265,80.7025557,Micro,Krishna,SERVICE,Generators and Transformers,Green,1
6,sai hanuman engineering works,16.6368089,80.9712264,Micro,West Godavari,SERVICE,Generators and Transformers,Green,4
7,GOPI KRISHNA BIKE POINT,18.5722913,83.3500517,Micro,Vizianagaram,SERVICE,Generators and Transformers,White,1
8,P Narayana Raju and sons Repairing works,16.7062274,81.108507,Micro,West Godavari,SERVICE,Generators and Transformers,Green,1
9,Yashwant hydraulic service,16.5019675,80.6732339,Micro,Krishna,SERVICE,Generators and Transformers,Green,1
10,VIJAYA LAKSHMI LATHE WORKS,16.7560133,81.6766118,Micro,West Godavari,SERVICE,Generators and Transformers,White,2
11,SAI GANESH ELECTRICAL REWINDING WORKS,18.8451465,84.5024926,Micro,Srikakulam,SERVICE,Generators and Transformers,Orange,1
12,Sai electricals,18.7404166,84.3326762,Micro,Srikakulam,SERVICE,Repairing of electric motor & generator,Green,1
13,Syed Dawood Doula Auto electricals,16.4976904,80.6724768,Micro,Krishna,SERVICE,Repairing of electric motor & generator,White,1
14,Baji Winding Works,16.3899429,80.160825,Micro,Guntur,SERVICE,Repairing of electric motor & generator,Green,1
15,Sri Laxmi venkata ramana engineering works,17.1741138,81.6974859,Micro,East Godavari,SERVICE,Repairing of electric motor & generator,Green,1
16,Mounika generator works,16.5043676,80.6789854,Micro,Krishna,SERVICE,Repairing of electric motor & generator,Green,2
17,SAI SHOE MART,16.4780654,79.8844338,Micro,Guntur,SERVICE,RETAIL SALE,Green,1
18,STAR AUTO ELECTRICAL TRACTOR SPARS,16.0612868,80.5499622,Micro,Guntur,SERVICE,RETAIL SALE,Orange,1
19,MOTOR AND GENERAL TREDERS,16.324103,80.4760605,Small,Guntur,SERVICE,RETAIL SALE,Green,1
20,SRI KRISHNA FLOUR MILL,16.5266185,80.6029562,Micro,Krishna,SERVICE,RETAIL SALE,White,1
21,karumuri Venkateswarao flour mill,16.4507256,81.1215037,Micro,Krishna,SERVICE,RETAIL SALE,Green,1
22,Kollipara Venkaiah flour,16.4794851,81.1459773,Micro,Krishna,SERVICE,RETAIL SALE,Green,1
23,VAMSI KRISHNA MODERN RICE MILL,13.5532227,78.5226026,Micro,Chittoor,SERVICE,RETAIL SALE,Green,3
24,Karumuri Satya vankata suryanarayana flour mill,16.4840798,81.1493696,Micro,Krishna,SERVICE,RETAIL SALE,Green,1
25,DAVOOD TRADERS,16.0754638,80.3298119,Micro,Guntur,SERVICE,RETAIL SALE,White,20
26,srivenkateswarariceandflourmill,16.3877959,80.0690333,Micro,Guntur,SERVICE,RETAIL SALE,Green,2
27,Raghavendra general stores,14.6647128,77.6076074,Micro,Anantapur,SERVICE,RETAIL SALE,Green,1
28,Venkateswara Oil Mill,16.6255799,81.7368778,Micro,West Godavari,SERVICE,RETAIL SALE,Green,1
29,R K garments,14.7554838,78.5496838,Micro,Kadapa,SERVICE,RETAIL SALE,Green,1
30,PRATHAP KUMAR,14.9096306,78.0102657,Micro,Anantapur,SERVICE,RETAIL SALE,White,1
31,srisrinivasariceandflourmill,16.3907552,80.0623981,Micro,Guntur,SERVICE,RETAIL SALE,Green,2
32,Vigneswerasrilakshmiprasannanjaneyariceandfloormill,16.3393274,80.1659741,Micro,Guntur,SERVICE,RETAIL SALE,Green,1
33,Sri Madhu Surya Oil and Flour Mill,16.625112,81.7389461,Micro,West Godavari,SERVICE,RETAIL SALE,Green,1
34,Krishnarice mill,16.310707,80.1130127,Micro,Guntur,SERVICE,RETAIL SALE,Green,1
35,Sri Rama Ginger oil and flour mill,16.538566,81.6221746,Micro,West Godavari,SERVICE,RETAIL SALE,Green,1
36,MS Chandra Gingily oil,16.6255802,81.7368761,Micro,West Godavari,SERVICE,RETAIL SALE,Green,1
